ticker,pred_proba,rank,date,risk_level,position_scale
FISV,0.68138236,1,2025-11-20,ELEVATED,0.5
MOH,0.67099583,2,2025-11-20,ELEVATED,0.5
MRNA,0.66943115,3,2025-11-20,ELEVATED,0.5
SMCI,0.66891,4,2025-11-20,ELEVATED,0.5
LULU,0.6669962,5,2025-11-20,ELEVATED,0.5
CNC,0.6637912,6,2025-11-20,ELEVATED,0.5
STX,0.66325945,7,2025-11-20,ELEVATED,0.5
WDC,0.6626451,8,2025-11-20,ELEVATED,0.5
TER,0.6626451,9,2025-11-20,ELEVATED,0.5
AMD,0.6625815,10,2025-11-20,ELEVATED,0.5
ALB,0.6607062,11,2025-11-20,ELEVATED,0.5
COIN,0.6585473,12,2025-11-20,ELEVATED,0.5
MU,0.6577558,13,2025-11-20,ELEVATED,0.5
HOOD,0.65717447,14,2025-11-20,ELEVATED,0.5
WBD,0.65635085,15,2025-11-20,ELEVATED,0.5
LRCX,0.65599763,16,2025-11-20,ELEVATED,0.5
DECK,0.65598375,17,2025-11-20,ELEVATED,0.5
CMG,0.65324086,18,2025-11-20,ELEVATED,0.5
ARE,0.6528002,19,2025-11-20,ELEVATED,0.5
APP,0.652041,20,2025-11-20,ELEVATED,0.5
